item_name,item_type,unit,location,room,stock_qty
Amoxicillin,chemical,gms,C1,135B,0.0
Ascorbic acid / L-Ascorbic acid / Vitamin C,chemical,gms,C1,135B,0.0
Bentonite Powder,chemical,gms,C1,135B,362.0
Bismuth Carbonate,chemical,gms,C1,135B,260.0
Boric Acid,chemical,gms,C1,135B,800.0
Calamine,chemical,gms,C1,135B,318.0
Calamine (Prep),chemical,gms,C1,135B,449.0
Calcium hydroxide,chemical,gms,C1,135B,681.0
Carboxy Methyl Cellulose,chemical,gms,C1,135B,2385.0
Carnauba wax,chemical,gms,C1,135B,473.0
Cetostearyl alcohol,chemical,gms,C1,135B,575.0
Cetrimide,chemical,gms,C1,135B,464.0
China clay,chemical,gms,C1,135B,433.0
Cholesterol,chemical,gms,C1,135B,236.0
Coconut Oil,chemical,gms,C1,135B,900.0
Microcrystaline cellulose/ Avicel,chemical,gms,C1,135B,394.0
D-Maltose monohydrate / Maltose monohydrate,chemical,gms,C2,135B,368.0
L-Histidine,chemical,gms,C2,135B,24.0
L-Menthol,chemical,gms,C2,135B,218.0
Tyrosine/ L-tyrosine,chemical,mL,C2,135B,17.0
Lactic Acid,chemical,gms,C2,135B,450.0
Magnesium trisilicate,chemical,gms,C3,135B,106.0
Menthol,chemical,gms,C3,135B,317.0
Methyl cellulose,chemical,gms,C3,135B,449.0
Mustard Oil,chemical,mL,C3,135B,1000.0
Nutmeg Oil,chemical,mL,C3,135B,200.0
Paraffin wax / Hard paraffin,chemical,gms,C4,135B,4208.0
Pectin citrus,chemical,gms,C4,135B,206.0
Peppermint Oil,chemical,mL,C4,135B,0.0
Phloroglucinol,chemical,gms,C4,135B,20.0
Povidone K30/ Polyvinylpyrrolidone / PVP K 30,chemical,gms,C4,135B,777.0
Potassium Iodide,chemical,gms,"C4, C97",135B,589
Sodium propylparaben,chemical,gms,C4,135B,339.0
Sesame Oil,chemical,gms,C5,135B,500.0
Sodium benzoate,chemical,gms,C5,135B,100.0
Sodium Bicarbonate / Sodium hydrogen carbonate / Natrium hydrogen carbonate,chemical,gms,C5,135B,907
Sodium Carbonate,chemical,gms,C5,135B,302.0
Sodium lauryl sulphate / Sodium Dodecyl Sulphate,chemical,gms,C5,135B,450.0
Sodium Nitroprusside,chemical,gms,C5,135B,0.0
Sorbitol / D-sorbitol,chemical,gms,C5,135B,204.0
Span 40 (Sorbitan Monopalmitate),chemical,gms,C5,135B,395.0
Span 60 (Sorbitan Monostearate),chemical,mL,C5,135B,497.0
Span 20 (Sorbitan Monolaurate),chemical,mL,C5,135B,350.0
Starch (maize),chemical,gms,C5,135B,1268.0
Sucrose,chemical,mL,C5,135B,2582.0
Theobroma Oil / Cocoa Butter,chemical,gms,C6,135B,161.0
Titanium dioxide / Titanium (IV) oxide,chemical,gms,C6,135B,981.0
Triethanolamine,chemical,mL,C6,135B,800.0
Turpentine oil,chemical,mL,C6,135B,450.0
Tween 20 / Polysorbate 20,chemical,mL,C6,135B,150.0
Tween 40 / Polysorbate 40,chemical,mL,C6,135B,450.0
Zinc Oxide,chemical,gms,C6,135B,720.0
Tween 60 / Polysorbate 60,chemical,gms,C11,135B,250.0
Tween 80 / Polysorbate 80,chemical,gms,C11,135B,700.0
Vanishing Cream,chemical,gms,C11,135B,396.0
Sunflower oil,chemical,gms,C12,135B,0.0
Talc / Talcum,chemical,gms,C12,135B,4589.0
Tragacanth,chemical,mL,C12,135B,364.0
Xanthan Gum,chemical,gms,C12,135B,900.0
Zinc chloride,chemical,gms,C12,135B,500.0
1-Naphthol / Naphthol,chemical,gms,C13,135B,694.0
2-Naphthol,chemical,gms,C13,135B,500.0
Lactose Anhydrous,chemical,mL,C13,135B,824.0
n-butanol / 1-butanol,chemical,gms,C13,135B,5500.0
Ninhydrin,chemical,gms,C13,135B,19.0
O-Phthalic acid,chemical,mL,C13,135B,500.0
Oleic Acid,chemical,gms,C13,135B,250.0
Hydroxyethyl cellulose,chemical,mL,C14,135B,496.0
HPMC E15 / Hydroxypropyl Methyl Cellulose E15,chemical,gms,C14,135B,600.0
HPMC K100 / Hydroxypropyl Methyl Cellulose K100,chemical,gms,C14,135B,437.0
HPMC K4M / Hydroxypropyl Methyl Cellulose K4M,chemical,gms,C14,135B,968.0
Iodine,chemical,gms,C14,135B,233.0
Iron (III) Chloride Hexahydrate,chemical,gms,C14,135B,200.0
Iron Chloride Anhydrous,chemical,gms,C14,135B,448.0
Methocil E-5 (Hydroxypropyl methylcellulose) / Hydroxypropyl Methyl Cellulose E5,chemical,gms,C14,135B,1941
EDTA Disodium salt,chemical,gms,C15,135B,991.0
Ethyl Acetate,chemical,mL,C15,135B,1000.0
Gelatin,chemical,gms,C15,135B,129.0
Glycolic Acid 99%,chemical,mL,C15,135B,419.0
